Age,Gender,Parental_Education,Family_Income,Previous_Grades,Attendance,Class_Participation,Study_Hours,Major,School_Type,Financial_Status,Parental_Involvement,Educational_Resources,Motivation,Self_Esteem,Stress_Levels,School_Environment,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Patterns,Nutrition,Physical_Activity,Screen_Time,Educational_Tech_Use,Peer_Group,Bullying,Study_Space,Learning_Style,Tutoring,Mentoring,Lack_of_Interest,Time_Wasted_on_Social_Media,Sports_Participation,Grades
20.0,M,,50000.0,C,76.0,Low,17.0,Engineering,Private,Medium,High,No,Medium,Medium,Medium,Negative,Medium,,No,6.0,Balanced,Medium,,No,Neutral,,Yes,Visual,No,No,High,1.0,High,A
20.0,M,Some College,40000.0,B,79.0,High,,Medicine,Private,Low,High,Yes,Medium,High,High,Positive,Low,93.0,Yes,9.0,Balanced,Low,10.0,Yes,Neutral,No,Yes,Visual,,No,High,6.0,Medium,B
21.0,F,College,60000.0,,91.0,Low,16.0,Business,,High,,No,Low,Low,Low,Positive,High,,Yes,6.0,Balanced,Low,5.0,No,Negative,Yes,Yes,Auditory,,No,Medium,6.0,Medium,C
20.0,,College,75000.0,C,91.0,Medium,17.0,Medicine,Public,Low,Low,No,Medium,Medium,Medium,Negative,Medium,58.0,No,7.0,Unhealthy,High,9.0,No,,,Yes,Auditory,Yes,Yes,Low,2.0,High,
21.0,F,Graduate,,B,91.0,High,13.0,Science,,Low,,,High,Medium,,Negative,Low,80.0,Yes,9.0,Healthy,Medium,9.0,Yes,,No,Yes,Kinesthetic,Yes,Yes,High,6.0,High,C
22.0,M,College,50000.0,A,95.0,Low,9.0,,Private,Medium,,Yes,Low,High,Low,Neutral,Medium,46.0,Yes,5.0,Unhealthy,,4.0,No,Positive,Yes,No,Auditory,Yes,Yes,High,1.0,High,B
,M,,30000.0,C,89.0,Low,,Arts,Public,Medium,Medium,,High,Low,,Positive,Medium,22.0,No,7.0,Unhealthy,Low,8.0,No,Neutral,,,Auditory,No,Yes,High,6.0,Medium,B
22.0,F,High School,40000.0,C,85.0,,5.0,Business,Private,High,Low,,Low,Low,Medium,Positive,Medium,45.0,No,4.0,,Low,10.0,No,Negative,No,No,Visual,Yes,Yes,Low,4.0,Low,C
,F,,60000.0,A,78.0,High,7.0,Science,Public,High,,No,Low,High,Low,Positive,,61.0,Yes,8.0,Healthy,High,6.0,Yes,Negative,Yes,No,,No,Yes,Low,6.0,High,C
20.0,M,Graduate,60000.0,B,72.0,High,20.0,Law,Private,Medium,Low,Yes,High,Medium,,Negative,Low,89.0,Yes,4.0,Healthy,,3.0,Yes,,Yes,Yes,Kinesthetic,,Yes,Low,4.0,Low,C
19.0,F,Some College,,A,95.0,Medium,8.0,Law,Public,Low,Medium,Yes,Low,Low,Low,Neutral,High,46.0,No,4.0,Unhealthy,Low,7.0,,Positive,,Yes,Auditory,No,Yes,High,1.0,,B
20.0,F,Some College,75000.0,B,81.0,Medium,10.0,Business,Public,High,High,Yes,Low,High,High,Positive,Low,43.0,No,5.0,Balanced,Medium,7.0,No,Negative,,No,,,Yes,Low,3.0,Low,B
,,College,40000.0,A,,Low,20.0,Science,,High,Medium,Yes,High,Medium,Low,Neutral,Medium,74.0,No,6.0,Healthy,Medium,6.0,Yes,,No,Yes,Visual,No,No,,3.0,Low,C
20.0,,Some College,75000.0,C,97.0,Medium,18.0,Science,Private,Medium,Low,No,Medium,Low,Low,Positive,Low,72.0,No,4.0,Healthy,High,5.0,Yes,Negative,No,Yes,Auditory,Yes,No,Medium,4.0,High,C
20.0,M,High School,40000.0,A,77.0,High,6.0,Engineering,Public,High,Medium,No,High,Medium,Medium,Negative,Low,44.0,No,6.0,Unhealthy,Medium,4.0,Yes,Neutral,Yes,Yes,Kinesthetic,No,No,Low,5.0,High,A
20.0,M,Some College,75000.0,A,82.0,Low,12.0,Engineering,,,High,No,Low,Medium,High,Negative,Medium,40.0,No,8.0,Healthy,,10.0,Yes,Negative,No,No,,Yes,No,High,6.0,Low,B
22.0,F,Some College,30000.0,A,89.0,Low,10.0,Science,Private,Medium,Medium,Yes,High,Low,High,Positive,Low,91.0,,7.0,Balanced,Low,9.0,Yes,Positive,No,No,Kinesthetic,No,No,Low,3.0,,B
22.0,M,Some College,40000.0,C,85.0,,14.0,Arts,Private,High,High,No,,High,High,Positive,Low,95.0,,,Balanced,Low,10.0,,Neutral,No,No,Auditory,No,Yes,Low,6.0,High,B
22.0,M,High School,30000.0,B,,Low,14.0,Science,Public,Low,High,,High,Medium,Medium,Negative,,82.0,,9.0,Healthy,Medium,6.0,No,Positive,No,,Kinesthetic,No,Yes,High,4.0,High,B
,,Some College,30000.0,A,89.0,High,10.0,Medicine,Public,High,Low,Yes,Low,Low,Low,Neutral,,60.0,No,5.0,Healthy,Medium,4.0,,Positive,No,Yes,Visual,Yes,Yes,Low,6.0,Medium,A
22.0,F,Some College,60000.0,C,90.0,Low,8.0,Law,Private,High,Medium,Yes,High,Medium,High,Negative,Medium,98.0,No,5.0,Balanced,Low,9.0,Yes,Neutral,No,,Visual,No,No,Low,3.0,High,B
21.0,F,Graduate,30000.0,A,74.0,Low,17.0,Medicine,,Medium,Medium,No,Medium,High,High,Neutral,,47.0,No,5.0,Balanced,Low,7.0,Yes,Neutral,No,Yes,Visual,No,Yes,High,2.0,,
21.0,F,High School,50000.0,A,,Low,14.0,Arts,Public,High,High,Yes,High,Low,Medium,Negative,Low,35.0,,,Unhealthy,Medium,3.0,Yes,Positive,Yes,No,Kinesthetic,Yes,No,Low,,,
21.0,,College,,,78.0,High,19.0,Medicine,Public,,Medium,,Medium,,High,Neutral,High,32.0,No,8.0,Healthy,High,5.0,No,,Yes,No,Auditory,,Yes,Low,6.0,Medium,B
18.0,F,Graduate,50000.0,C,85.0,Medium,11.0,Medicine,Private,High,Low,No,Low,,High,Positive,Low,20.0,Yes,8.0,,Medium,8.0,No,Negative,Yes,No,Kinesthetic,No,Yes,High,5.0,High,A
,F,High School,30000.0,B,91.0,High,18.0,,Private,Medium,,No,Low,Low,,Positive,Low,,Yes,,Unhealthy,Low,5.0,No,Positive,No,Yes,Kinesthetic,No,Yes,Low,1.0,Medium,B
,,College,50000.0,A,78.0,Low,9.0,,Private,High,,No,Medium,Medium,Medium,Positive,Medium,,Yes,,Healthy,High,5.0,No,Negative,No,Yes,,No,No,High,,High,A
21.0,F,High School,40000.0,A,80.0,Medium,6.0,Law,Private,High,High,Yes,High,,Low,Positive,Medium,88.0,No,,Healthy,Medium,3.0,No,Neutral,No,No,,Yes,Yes,High,5.0,Medium,A
,M,College,75000.0,A,79.0,High,19.0,Arts,Private,High,Medium,Yes,Low,High,High,Negative,Medium,64.0,Yes,9.0,Unhealthy,Medium,,Yes,,,Yes,Visual,No,Yes,High,6.0,Low,
22.0,M,College,75000.0,C,79.0,Low,11.0,Business,Private,Low,Medium,No,High,Medium,,Neutral,,56.0,No,9.0,Healthy,Low,,Yes,,No,No,Auditory,No,Yes,Medium,6.0,Medium,C
21.0,M,High School,40000.0,B,75.0,High,9.0,Business,Private,,High,No,Low,High,,Neutral,Low,43.0,Yes,,Unhealthy,Low,10.0,Yes,Neutral,Yes,No,Visual,Yes,Yes,Medium,,Medium,
21.0,M,High School,60000.0,C,,Low,7.0,Arts,Public,Low,Low,No,High,Low,Low,Neutral,High,30.0,,8.0,Balanced,High,,Yes,Positive,Yes,No,Kinesthetic,,,Low,,Medium,B
19.0,M,College,60000.0,C,74.0,Low,10.0,Science,,,High,Yes,Low,Low,Low,Positive,High,29.0,No,7.0,Unhealthy,Medium,10.0,Yes,Positive,Yes,No,Auditory,No,Yes,,6.0,High,C
22.0,,High School,40000.0,B,74.0,Medium,20.0,Arts,Public,Medium,Medium,Yes,High,Low,,Negative,Low,71.0,No,8.0,,Low,8.0,Yes,Positive,No,,Visual,No,No,Low,2.0,Medium,B
21.0,M,,30000.0,B,,Low,,Medicine,Private,,Medium,No,Low,High,Low,Neutral,,67.0,No,9.0,Balanced,Medium,7.0,No,Positive,Yes,,,No,No,Medium,1.0,Medium,B
22.0,M,College,75000.0,C,74.0,Low,14.0,Medicine,Public,Low,Low,Yes,,High,Low,Positive,Low,78.0,No,,Balanced,Low,7.0,No,Positive,Yes,Yes,Auditory,No,Yes,Low,4.0,Low,B
20.0,M,,,B,87.0,Medium,16.0,Arts,,Medium,Medium,Yes,High,Medium,Medium,Negative,Low,90.0,Yes,5.0,Balanced,High,2.0,No,Positive,No,Yes,Kinesthetic,Yes,Yes,High,3.0,Medium,A
22.0,,High School,40000.0,A,97.0,High,14.0,Law,,Medium,High,Yes,Low,Low,Low,Neutral,Low,50.0,Yes,9.0,Balanced,High,2.0,Yes,Positive,Yes,No,Auditory,Yes,,,6.0,Medium,B
18.0,M,High School,30000.0,C,79.0,High,16.0,,Public,,High,Yes,Low,Low,Low,Positive,Low,,No,8.0,Balanced,Medium,8.0,Yes,Negative,Yes,Yes,Auditory,Yes,No,Medium,1.0,Medium,A
22.0,F,,75000.0,B,81.0,Low,17.0,Science,Public,High,Medium,No,High,Low,Medium,Negative,Low,96.0,Yes,6.0,Unhealthy,Low,,Yes,Negative,Yes,No,Auditory,No,No,Medium,1.0,Low,A
19.0,F,Graduate,75000.0,C,85.0,Low,18.0,Medicine,Private,Medium,Low,,Medium,Medium,Low,Negative,Medium,74.0,No,4.0,Balanced,High,9.0,,Positive,Yes,Yes,Kinesthetic,Yes,Yes,Low,,High,A
19.0,F,,60000.0,A,79.0,High,17.0,Science,Private,Low,High,Yes,,High,High,Positive,,67.0,No,6.0,Unhealthy,Medium,3.0,No,Neutral,Yes,No,Visual,,Yes,Medium,6.0,Medium,A
20.0,F,,60000.0,C,,Low,17.0,Science,Public,Medium,High,No,High,Medium,Medium,Positive,Medium,78.0,No,9.0,Unhealthy,High,2.0,Yes,Positive,Yes,Yes,Auditory,No,No,High,6.0,Low,A
21.0,M,Some College,60000.0,,73.0,Low,16.0,,Private,,High,Yes,Low,Medium,High,Negative,Low,70.0,Yes,6.0,Healthy,Low,,Yes,Negative,No,No,Kinesthetic,Yes,No,,5.0,Medium,A
22.0,M,College,75000.0,A,76.0,High,14.0,Business,Public,Medium,,Yes,,High,Medium,Negative,Medium,100.0,No,9.0,Balanced,Medium,10.0,No,Positive,Yes,No,Kinesthetic,,No,Medium,6.0,High,
20.0,M,College,30000.0,B,94.0,Low,9.0,Medicine,,,Low,Yes,,High,Medium,Neutral,Low,67.0,No,9.0,Unhealthy,High,,No,Positive,No,Yes,Visual,Yes,No,Medium,2.0,Low,C
19.0,F,,60000.0,,,Medium,10.0,,Public,High,Medium,Yes,Medium,Medium,Medium,Negative,Medium,27.0,No,8.0,Balanced,,2.0,No,Neutral,No,No,Kinesthetic,Yes,,,5.0,Low,B
21.0,F,High School,,C,72.0,Medium,7.0,Business,Private,High,Low,No,Low,Medium,Medium,Positive,High,48.0,Yes,,Healthy,Low,,Yes,Neutral,No,Yes,Auditory,No,Yes,High,6.0,Medium,B
20.0,F,Graduate,75000.0,C,71.0,Medium,5.0,Business,Private,High,High,Yes,High,High,,Positive,Low,42.0,Yes,4.0,Unhealthy,,7.0,No,Neutral,No,No,Kinesthetic,No,Yes,Medium,4.0,Medium,A
19.0,M,High School,50000.0,C,81.0,Low,12.0,Law,Private,Medium,Medium,Yes,Low,,Low,Negative,High,89.0,No,7.0,Balanced,High,4.0,,Positive,Yes,Yes,Kinesthetic,No,Yes,Low,,High,B
,M,High School,30000.0,B,83.0,Medium,8.0,Law,Public,Low,,No,High,Medium,Medium,Neutral,High,48.0,Yes,,Balanced,High,,Yes,Neutral,Yes,No,Visual,No,Yes,,,High,C
,,College,60000.0,B,72.0,High,5.0,Engineering,Private,Medium,Low,Yes,Low,Medium,,Positive,High,45.0,No,6.0,Unhealthy,High,4.0,Yes,Negative,No,Yes,Kinesthetic,Yes,Yes,Low,5.0,Low,A
21.0,F,High School,60000.0,A,78.0,High,12.0,,Public,High,High,No,Medium,High,Medium,Negative,Low,,,8.0,Healthy,Medium,6.0,No,Positive,,Yes,Auditory,No,No,,1.0,High,A
20.0,M,Some College,40000.0,,97.0,Medium,14.0,,Private,Medium,Medium,No,High,Low,Medium,Negative,Low,93.0,No,8.0,Healthy,Medium,6.0,Yes,Negative,No,No,Visual,,No,Low,4.0,Low,C
21.0,M,Some College,40000.0,C,88.0,Low,9.0,Science,Public,Medium,Low,No,Medium,Low,High,Negative,Low,,Yes,4.0,Balanced,Low,4.0,Yes,Neutral,Yes,Yes,Auditory,Yes,No,High,6.0,Medium,C
18.0,F,Graduate,60000.0,B,70.0,High,14.0,Science,Public,High,High,No,,Medium,Low,Negative,Low,72.0,Yes,9.0,Balanced,High,7.0,Yes,Negative,No,,,Yes,Yes,Medium,4.0,High,A
20.0,M,Graduate,50000.0,,82.0,Medium,20.0,Business,Public,High,Low,Yes,Low,Low,Low,Positive,Medium,36.0,No,9.0,Balanced,Low,3.0,Yes,Negative,Yes,Yes,Visual,No,No,High,5.0,Medium,A
20.0,F,High School,50000.0,C,100.0,Low,12.0,Science,Private,Medium,Medium,Yes,Low,High,High,Positive,High,,No,5.0,Healthy,High,9.0,No,Positive,No,No,Auditory,Yes,No,Medium,4.0,High,C
20.0,M,College,60000.0,,97.0,Low,18.0,Medicine,Private,Medium,Medium,No,Low,Medium,Low,Negative,Medium,62.0,,8.0,Healthy,High,6.0,No,Negative,No,No,Auditory,Yes,No,,4.0,Medium,C
20.0,M,High School,60000.0,C,78.0,High,19.0,Science,Private,High,Low,,Low,Low,Medium,Neutral,Medium,94.0,No,5.0,Healthy,Low,3.0,Yes,,No,No,,No,No,Low,6.0,Medium,B
19.0,M,Some College,60000.0,C,80.0,High,,,,Low,High,Yes,High,Medium,High,Neutral,High,65.0,No,5.0,Balanced,Medium,3.0,No,Neutral,Yes,Yes,,No,Yes,Low,2.0,,B
18.0,M,Graduate,40000.0,B,96.0,Medium,14.0,Law,,High,Medium,Yes,Medium,Low,High,Positive,High,60.0,No,9.0,Unhealthy,,,No,Negative,No,No,Kinesthetic,No,No,Low,6.0,Low,A
19.0,M,College,50000.0,,79.0,High,12.0,Law,Public,Medium,Low,Yes,Medium,High,Low,,High,99.0,Yes,4.0,Unhealthy,Medium,7.0,No,Neutral,No,Yes,Visual,Yes,No,High,1.0,Medium,C
21.0,F,Some College,75000.0,C,74.0,Medium,6.0,Business,Private,Medium,Low,Yes,High,Low,Low,Negative,Medium,50.0,No,8.0,Healthy,,5.0,No,Negative,No,Yes,Auditory,Yes,No,,1.0,High,B
21.0,F,Some College,40000.0,A,88.0,High,11.0,Engineering,Public,High,,Yes,High,,,Negative,,64.0,Yes,9.0,Balanced,Low,5.0,Yes,Negative,Yes,No,Visual,No,No,,3.0,Low,A
21.0,F,Graduate,75000.0,B,84.0,Medium,17.0,Medicine,Public,Low,High,No,High,Medium,Medium,Neutral,Low,84.0,No,4.0,Balanced,Medium,7.0,No,,No,Yes,Kinesthetic,No,No,Medium,6.0,Medium,B
,F,Some College,60000.0,C,83.0,High,15.0,Science,Private,Medium,Medium,No,High,Low,Medium,Neutral,High,34.0,No,,Healthy,High,4.0,No,Negative,No,No,Kinesthetic,Yes,Yes,High,3.0,High,A
21.0,F,Graduate,30000.0,A,96.0,High,11.0,Medicine,,Low,High,Yes,High,Medium,Low,Negative,,84.0,No,7.0,Healthy,High,9.0,Yes,Neutral,Yes,,Kinesthetic,No,Yes,Medium,1.0,Medium,A
