Age,Gender,Parental_Education,Family_Income,Previous_Grades,Attendance,Class_Participation,Study_Hours,stream,School_Type,Financial_Status,Parental_Involvement,Educational_Resources,Motivation,Self_Esteem,Stress_Levels,School_Environment,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Patterns,Nutrition,Physical_Activity,Screen_Time,Educational_Tech_Use,Peer_Group,Bullying,Study_Space,Learning_Style,Tutoring,Mentoring,Lack_of_Interest,Time_Wasted_on_Social_Media,Sports_Participation,Grades
20,M,High School,40000,A,,Medium,11,,Public,,Low,No,Medium,High,High,Negative,Medium,65,Yes,7,Balanced,Low,9,No,Negative,No,No,Auditory,,No,High,6,Medium,C
19,F,College,30000,A,98,Low,,Business,Private,High,Medium,No,High,Medium,Low,,High,67,Yes,7,Balanced,Medium,2,Yes,,No,Yes,Visual,Yes,Yes,Low,1,High,B
18,F,Graduate,60000,,,Medium,6,Law,Private,High,High,Yes,,High,,Negative,Low,63,Yes,9,Healthy,High,7,Yes,Negative,No,No,Visual,No,Yes,Medium,3,Medium,A
,M,Graduate,50000,,91,Medium,13,Medicine,Public,High,,No,,Medium,Low,Neutral,High,48,,,Unhealthy,Low,8,Yes,Neutral,No,No,Kinesthetic,No,Yes,Low,2,Low,A
22,F,High School,60000,,70,High,9,Engineering,Public,High,Low,No,,Low,Medium,Neutral,High,53,No,9,Unhealthy,Medium,5,No,Neutral,Yes,No,Auditory,Yes,,Low,1,Medium,C
21,F,,50000,B,93,Medium,13,Science,Public,Medium,High,No,Low,Medium,,,High,67,No,,Healthy,Medium,6,Yes,Neutral,No,No,Auditory,Yes,Yes,Low,4,Medium,
19,F,Some College,60000,A,93,Medium,16,,Public,Low,Low,Yes,Medium,Low,High,Negative,Medium,93,No,6,Balanced,Medium,3,No,Positive,No,Yes,Auditory,No,No,,5,High,C
19,F,Graduate,30000,C,84,Low,8,Arts,Public,Medium,,,Low,Medium,Medium,Positive,Medium,67,No,8,Balanced,Medium,4,No,,Yes,Yes,Auditory,No,No,High,4,High,A
22,F,,50000,A,,High,19,Engineering,Public,,High,No,High,Low,Low,Neutral,Medium,39,No,8,Balanced,Medium,5,No,Neutral,Yes,Yes,,Yes,Yes,High,1,Medium,C
19,F,Graduate,40000,C,73,Medium,7,,Private,Low,Medium,No,High,Medium,Medium,Positive,High,94,No,8,,Low,6,Yes,Negative,No,No,Auditory,,Yes,Low,3,High,C
19,M,Graduate,40000,C,99,Low,10,Law,Public,High,Medium,Yes,,Low,,Positive,Low,97,Yes,4,Unhealthy,High,4,Yes,Negative,Yes,,Visual,Yes,No,High,4,Low,C
20,F,College,50000,A,78,Low,18,,Public,Low,,Yes,Low,High,High,Positive,High,39,Yes,9,Healthy,Medium,2,No,Neutral,No,Yes,,No,No,High,4,Medium,B
20,M,,50000,C,76,Low,17,Engineering,Private,Medium,High,No,Medium,Medium,Medium,Negative,Medium,,No,6,Balanced,Medium,,No,Neutral,,Yes,Visual,No,No,High,1,High,A
20,M,Some College,40000,B,79,High,,Medicine,Private,Low,High,Yes,Medium,High,High,Positive,Low,93,Yes,9,Balanced,Low,10,Yes,Neutral,No,Yes,Visual,,No,High,6,Medium,B
21,F,College,60000,,91,Low,16,Business,,High,,No,Low,Low,Low,Positive,High,,Yes,6,Balanced,Low,5,No,Negative,Yes,Yes,Auditory,,No,Medium,6,Medium,C
20,,College,75000,C,91,Medium,17,Medicine,Public,Low,Low,No,Medium,Medium,Medium,Negative,Medium,58,No,7,Unhealthy,High,9,No,,,Yes,Auditory,Yes,Yes,Low,2,High,
21,F,Graduate,,B,91,High,13,Science,,Low,,,High,Medium,,Negative,Low,80,Yes,9,Healthy,Medium,9,Yes,,No,Yes,Kinesthetic,Yes,Yes,High,6,High,C
22,M,College,50000,A,95,Low,9,,Private,Medium,,Yes,Low,High,Low,Neutral,Medium,46,Yes,5,Unhealthy,,4,No,Positive,Yes,No,Auditory,Yes,Yes,High,1,High,B
,M,,30000,C,89,Low,,Arts,Public,Medium,Medium,,High,Low,,Positive,Medium,22,No,7,Unhealthy,Low,8,No,Neutral,,,Auditory,No,Yes,High,6,Medium,B
22,F,High School,40000,C,85,,5,Business,Private,High,Low,,Low,Low,Medium,Positive,Medium,45,No,4,,Low,10,No,Negative,No,No,Visual,Yes,Yes,Low,4,Low,C
,F,,60000,A,78,High,7,Science,Public,High,,No,Low,High,Low,Positive,,61,Yes,8,Healthy,High,6,Yes,Negative,Yes,No,,No,Yes,Low,6,High,C
20,M,Graduate,60000,B,72,High,20,Law,Private,Medium,Low,Yes,High,Medium,,Negative,Low,89,Yes,4,Healthy,,3,Yes,,Yes,Yes,Kinesthetic,,Yes,Low,4,Low,C
19,F,Some College,,A,95,Medium,8,Law,Public,Low,Medium,Yes,Low,Low,Low,Neutral,High,46,No,4,Unhealthy,Low,7,,Positive,,Yes,Auditory,No,Yes,High,1,,B
20,F,Some College,75000,B,81,Medium,10,Business,Public,High,High,Yes,Low,High,High,Positive,Low,43,No,5,Balanced,Medium,7,No,Negative,,No,,,Yes,Low,3,Low,B
,,College,40000,A,,Low,20,Science,,High,Medium,Yes,High,Medium,Low,Neutral,Medium,74,No,6,Healthy,Medium,6,Yes,,No,Yes,Visual,No,No,,3,Low,C
20,,Some College,75000,C,97,Medium,18,Science,Private,Medium,Low,No,Medium,Low,Low,Positive,Low,72,No,4,Healthy,High,5,Yes,Negative,No,Yes,Auditory,Yes,No,Medium,4,High,C
20,M,High School,40000,A,77,High,6,Engineering,Public,High,Medium,No,High,Medium,Medium,Negative,Low,44,No,6,Unhealthy,Medium,4,Yes,Neutral,Yes,Yes,Kinesthetic,No,No,Low,5,High,A
20,M,Some College,75000,A,82,Low,12,Engineering,,,High,No,Low,Medium,High,Negative,Medium,40,No,8,Healthy,,10,Yes,Negative,No,No,,Yes,No,High,6,Low,B
22,F,Some College,30000,A,89,Low,10,Science,Private,Medium,Medium,Yes,High,Low,High,Positive,Low,91,,7,Balanced,Low,9,Yes,Positive,No,No,Kinesthetic,No,No,Low,3,,B
22,M,Some College,40000,C,85,,14,Arts,Private,High,High,No,,High,High,Positive,Low,95,,,Balanced,Low,10,,Neutral,No,No,Auditory,No,Yes,Low,6,High,B
22,M,High School,30000,B,,Low,14,Science,Public,Low,High,,High,Medium,Medium,Negative,,82,,9,Healthy,Medium,6,No,Positive,No,,Kinesthetic,No,Yes,High,4,High,B
,,Some College,30000,A,89,High,10,Medicine,Public,High,Low,Yes,Low,Low,Low,Neutral,,60,No,5,Healthy,Medium,4,,Positive,No,Yes,Visual,Yes,Yes,Low,6,Medium,A
22,F,Some College,60000,C,90,Low,8,Law,Private,High,Medium,Yes,High,Medium,High,Negative,Medium,98,No,5,Balanced,Low,9,Yes,Neutral,No,,Visual,No,No,Low,3,High,B
21,F,Graduate,30000,A,74,Low,17,Medicine,,Medium,Medium,No,Medium,High,High,Neutral,,47,No,5,Balanced,Low,7,Yes,Neutral,No,Yes,Visual,No,Yes,High,2,,
21,F,High School,50000,A,,Low,14,Arts,Public,High,High,Yes,High,Low,Medium,Negative,Low,35,,,Unhealthy,Medium,3,Yes,Positive,Yes,No,Kinesthetic,Yes,No,Low,,,
21,,College,,,78,High,19,Medicine,Public,,Medium,,Medium,,High,Neutral,High,32,No,8,Healthy,High,5,No,,Yes,No,Auditory,,Yes,Low,6,Medium,B
18,F,Graduate,50000,C,85,Medium,11,Medicine,Private,High,Low,No,Low,,High,Positive,Low,20,Yes,8,,Medium,8,No,Negative,Yes,No,Kinesthetic,No,Yes,High,5,High,A
,F,High School,30000,B,91,High,18,,Private,Medium,,No,Low,Low,,Positive,Low,,Yes,,Unhealthy,Low,5,No,Positive,No,Yes,Kinesthetic,No,Yes,Low,1,Medium,B
,,College,50000,A,78,Low,9,,Private,High,,No,Medium,Medium,Medium,Positive,Medium,,Yes,,Healthy,High,5,No,Negative,No,Yes,,No,No,High,,High,A
21,F,High School,40000,A,80,Medium,6,Law,Private,High,High,Yes,High,,Low,Positive,Medium,88,No,,Healthy,Medium,3,No,Neutral,No,No,,Yes,Yes,High,5,Medium,A
,M,College,75000,A,79,High,19,Arts,Private,High,Medium,Yes,Low,High,High,Negative,Medium,64,Yes,9,Unhealthy,Medium,,Yes,,,Yes,Visual,No,Yes,High,6,Low,
22,M,College,75000,C,79,Low,11,Business,Private,Low,Medium,No,High,Medium,,Neutral,,56,No,9,Healthy,Low,,Yes,,No,No,Auditory,No,Yes,Medium,6,Medium,C
21,M,High School,40000,B,75,High,9,Business,Private,,High,No,Low,High,,Neutral,Low,43,Yes,,Unhealthy,Low,10,Yes,Neutral,Yes,No,Visual,Yes,Yes,Medium,,Medium,
21,M,High School,60000,C,,Low,7,Arts,Public,Low,Low,No,High,Low,Low,Neutral,High,30,,8,Balanced,High,,Yes,Positive,Yes,No,Kinesthetic,,,Low,,Medium,B
19,M,College,60000,C,74,Low,10,Science,,,High,Yes,Low,Low,Low,Positive,High,29,No,7,Unhealthy,Medium,10,Yes,Positive,Yes,No,Auditory,No,Yes,,6,High,C
22,,High School,40000,B,74,Medium,20,Arts,Public,Medium,Medium,Yes,High,Low,,Negative,Low,71,No,8,,Low,8,Yes,Positive,No,,Visual,No,No,Low,2,Medium,B
21,M,,30000,B,,Low,,Medicine,Private,,Medium,No,Low,High,Low,Neutral,,67,No,9,Balanced,Medium,7,No,Positive,Yes,,,No,No,Medium,1,Medium,B
22,M,College,75000,C,74,Low,14,Medicine,Public,Low,Low,Yes,,High,Low,Positive,Low,78,No,,Balanced,Low,7,No,Positive,Yes,Yes,Auditory,No,Yes,Low,4,Low,B
20,M,,,B,87,Medium,16,Arts,,Medium,Medium,Yes,High,Medium,Medium,Negative,Low,90,Yes,5,Balanced,High,2,No,Positive,No,Yes,Kinesthetic,Yes,Yes,High,3,Medium,A
22,,High School,40000,A,97,High,14,Law,,Medium,High,Yes,Low,Low,Low,Neutral,Low,50,Yes,9,Balanced,High,2,Yes,Positive,Yes,No,Auditory,Yes,,,6,Medium,B
18,M,High School,30000,C,79,High,16,,Public,,High,Yes,Low,Low,Low,Positive,Low,,No,8,Balanced,Medium,8,Yes,Negative,Yes,Yes,Auditory,Yes,No,Medium,1,Medium,A
22,F,,75000,B,81,Low,17,Science,Public,High,Medium,No,High,Low,Medium,Negative,Low,96,Yes,6,Unhealthy,Low,,Yes,Negative,Yes,No,Auditory,No,No,Medium,1,Low,A
19,F,Graduate,75000,C,85,Low,18,Medicine,Private,Medium,Low,,Medium,Medium,Low,Negative,Medium,74,No,4,Balanced,High,9,,Positive,Yes,Yes,Kinesthetic,Yes,Yes,Low,,High,A
19,F,,60000,A,79,High,17,Science,Private,Low,High,Yes,,High,High,Positive,,67,No,6,Unhealthy,Medium,3,No,Neutral,Yes,No,Visual,,Yes,Medium,6,Medium,A
20,F,,60000,C,,Low,17,Science,Public,Medium,High,No,High,Medium,Medium,Positive,Medium,78,No,9,Unhealthy,High,2,Yes,Positive,Yes,Yes,Auditory,No,No,High,6,Low,A
21,M,Some College,60000,,73,Low,16,,Private,,High,Yes,Low,Medium,High,Negative,Low,70,Yes,6,Healthy,Low,,Yes,Negative,No,No,Kinesthetic,Yes,No,,5,Medium,A
22,M,College,75000,A,76,High,14,Business,Public,Medium,,Yes,,High,Medium,Negative,Medium,100,No,9,Balanced,Medium,10,No,Positive,Yes,No,Kinesthetic,,No,Medium,6,High,
20,M,College,30000,B,94,Low,9,Medicine,,,Low,Yes,,High,Medium,Neutral,Low,67,No,9,Unhealthy,High,,No,Positive,No,Yes,Visual,Yes,No,Medium,2,Low,C
19,F,,60000,,,Medium,10,,Public,High,Medium,Yes,Medium,Medium,Medium,Negative,Medium,27,No,8,Balanced,,2,No,Neutral,No,No,Kinesthetic,Yes,,,5,Low,B
21,F,High School,,C,72,Medium,7,Business,Private,High,Low,No,Low,Medium,Medium,Positive,High,48,Yes,,Healthy,Low,,Yes,Neutral,No,Yes,Auditory,No,Yes,High,6,Medium,B
20,F,Graduate,75000,C,71,Medium,5,Business,Private,High,High,Yes,High,High,,Positive,Low,42,Yes,4,Unhealthy,,7,No,Neutral,No,No,Kinesthetic,No,Yes,Medium,4,Medium,A
19,M,High School,50000,C,81,Low,12,Law,Private,Medium,Medium,Yes,Low,,Low,Negative,High,89,No,7,Balanced,High,4,,Positive,Yes,Yes,Kinesthetic,No,Yes,Low,,High,B
,M,High School,30000,B,83,Medium,8,Law,Public,Low,,No,High,Medium,Medium,Neutral,High,48,Yes,,Balanced,High,,Yes,Neutral,Yes,No,Visual,No,Yes,,,High,C
,,College,60000,B,72,High,5,Engineering,Private,Medium,Low,Yes,Low,Medium,,Positive,High,45,No,6,Unhealthy,High,4,Yes,Negative,No,Yes,Kinesthetic,Yes,Yes,Low,5,Low,A
21,F,High School,60000,A,78,High,12,,Public,High,High,No,Medium,High,Medium,Negative,Low,,,8,Healthy,Medium,6,No,Positive,,Yes,Auditory,No,No,,1,High,A
20,M,Some College,40000,,97,Medium,14,,Private,Medium,Medium,No,High,Low,Medium,Negative,Low,93,No,8,Healthy,Medium,6,Yes,Negative,No,No,Visual,,No,Low,4,Low,C
21,M,Some College,40000,C,88,Low,9,Science,Public,Medium,Low,No,Medium,Low,High,Negative,Low,,Yes,4,Balanced,Low,4,Yes,Neutral,Yes,Yes,Auditory,Yes,No,High,6,Medium,C
18,F,Graduate,60000,B,70,High,14,Science,Public,High,High,No,,Medium,Low,Negative,Low,72,Yes,9,Balanced,High,7,Yes,Negative,No,,,Yes,Yes,Medium,4,High,A
20,M,Graduate,50000,,82,Medium,20,Business,Public,High,Low,Yes,Low,Low,Low,Positive,Medium,36,No,9,Balanced,Low,3,Yes,Negative,Yes,Yes,Visual,No,No,High,5,Medium,A
20,F,High School,50000,C,100,Low,12,Science,Private,Medium,Medium,Yes,Low,High,High,Positive,High,,No,5,Healthy,High,9,No,Positive,No,No,Auditory,Yes,No,Medium,4,High,C
20,M,College,60000,,97,Low,18,Medicine,Private,Medium,Medium,No,Low,Medium,Low,Negative,Medium,62,,8,Healthy,High,6,No,Negative,No,No,Auditory,Yes,No,,4,Medium,C
20,M,High School,60000,C,78,High,19,Science,Private,High,Low,,Low,Low,Medium,Neutral,Medium,94,No,5,Healthy,Low,3,Yes,,No,No,,No,No,Low,6,Medium,B
19,M,Some College,60000,C,80,High,,,,Low,High,Yes,High,Medium,High,Neutral,High,65,No,5,Balanced,Medium,3,No,Neutral,Yes,Yes,,No,Yes,Low,2,,B
18,M,Graduate,40000,B,96,Medium,14,Law,,High,Medium,Yes,Medium,Low,High,Positive,High,60,No,9,Unhealthy,,,No,Negative,No,No,Kinesthetic,No,No,Low,6,Low,A
19,M,College,50000,,79,High,12,Law,Public,Medium,Low,Yes,Medium,High,Low,,High,99,Yes,4,Unhealthy,Medium,7,No,Neutral,No,Yes,Visual,Yes,No,High,1,Medium,C
21,F,Some College,75000,C,74,Medium,6,Business,Private,Medium,Low,Yes,High,Low,Low,Negative,Medium,50,No,8,Healthy,,5,No,Negative,No,Yes,Auditory,Yes,No,,1,High,B
21,F,Some College,40000,A,88,High,11,Engineering,Public,High,,Yes,High,,,Negative,,64,Yes,9,Balanced,Low,5,Yes,Negative,Yes,No,Visual,No,No,,3,Low,A
21,F,Graduate,75000,B,84,Medium,17,Medicine,Public,Low,High,No,High,Medium,Medium,Neutral,Low,84,No,4,Balanced,Medium,7,No,,No,Yes,Kinesthetic,No,No,Medium,6,Medium,B
,F,Some College,60000,C,83,High,15,Science,Private,Medium,Medium,No,High,Low,Medium,Neutral,High,34,No,,Healthy,High,4,No,Negative,No,No,Kinesthetic,Yes,Yes,High,3,High,A
21,F,Graduate,30000,A,96,High,11,Medicine,,Low,High,Yes,High,Medium,Low,Negative,,84,No,7,Healthy,High,9,Yes,Neutral,Yes,,Kinesthetic,No,Yes,Medium,1,Medium,A
20,M,College,,C,80,Medium,14,Arts,Private,High,High,Yes,Low,Medium,Medium,Negative,Low,96,Yes,6,Healthy,Medium,5,No,Negative,No,,Visual,Yes,,Low,4,Medium,B
20,M,High School,40000,B,89,Low,11,Law,Public,Low,High,Yes,Medium,High,Medium,Positive,,37,Yes,9,Unhealthy,Low,8,Yes,Neutral,No,No,,Yes,No,High,5,Low,B
18,F,High School,30000,B,89,High,15,Business,Private,Low,Medium,No,Medium,Low,Low,Positive,Medium,87,No,8,Healthy,Low,8,,Positive,Yes,Yes,Visual,No,Yes,High,3,Low,C
22,,High School,60000,C,97,Medium,9,Arts,Private,Low,Medium,Yes,,,High,Negative,High,39,No,9,Balanced,Medium,6,No,Positive,Yes,No,,No,Yes,Low,3,Medium,B
20,M,College,50000,B,98,Low,9,Arts,Public,High,Medium,Yes,Medium,Medium,Low,Neutral,Medium,64,Yes,4,Unhealthy,High,2,Yes,Positive,Yes,No,Kinesthetic,No,Yes,High,2,Medium,B
19,F,College,30000,,72,High,11,Medicine,,Low,Medium,No,Medium,Medium,Medium,,Medium,39,Yes,7,Healthy,Low,7,Yes,Neutral,No,No,Auditory,Yes,No,Low,3,Low,C
22,F,High School,75000,A,92,Low,19,Arts,Private,Medium,Low,No,Low,Low,High,Neutral,Medium,35,No,5,Healthy,Low,8,Yes,Negative,,Yes,,Yes,No,Medium,5,High,A
18,M,Some College,60000,A,,High,8,Business,,Medium,Low,No,,Medium,Medium,Neutral,Medium,23,No,9,Unhealthy,High,3,No,Positive,Yes,No,Visual,No,Yes,Medium,3,,C
21,M,High School,40000,B,,,12,Engineering,,High,High,Yes,Medium,Low,High,Neutral,High,,No,8,Healthy,Low,3,Yes,Neutral,No,Yes,Visual,,Yes,Low,4,High,C
19,M,Some College,40000,B,94,High,16,Law,Public,Medium,,Yes,Low,Low,Medium,Neutral,Low,69,Yes,5,Unhealthy,High,3,Yes,Positive,No,No,Visual,Yes,Yes,Medium,3,Low,A
18,M,Graduate,,B,95,Low,9,Science,Private,,High,Yes,Low,Medium,High,,Low,29,Yes,5,Unhealthy,High,8,Yes,Neutral,Yes,Yes,Kinesthetic,No,Yes,Medium,6,High,A
22,F,Graduate,50000,B,94,,13,Business,Private,High,Low,No,,Low,Low,Neutral,High,47,Yes,,Healthy,Medium,9,No,Neutral,Yes,No,Auditory,No,No,Low,5,Medium,C
20,F,Some College,40000,A,82,Low,6,Law,Private,High,Low,Yes,High,Low,High,Neutral,,97,Yes,5,Unhealthy,Low,8,No,Positive,No,No,Kinesthetic,Yes,No,Medium,6,High,C
19,M,,30000,A,91,Medium,5,Engineering,Public,Medium,Low,No,Low,,Low,Negative,Medium,,Yes,4,Balanced,Low,4,Yes,Neutral,Yes,No,Visual,No,No,Medium,3,Medium,C
20,M,Some College,50000,C,78,Medium,10,Engineering,Public,High,Medium,Yes,High,,Low,Neutral,Low,88,No,4,Unhealthy,High,2,Yes,Neutral,No,,Auditory,Yes,No,High,6,High,A
19,M,High School,60000,A,78,Medium,17,Science,Public,Low,High,Yes,High,High,Low,Positive,Low,75,Yes,7,Unhealthy,Low,5,No,,Yes,Yes,Auditory,No,Yes,Medium,6,High,C
20,M,Graduate,50000,C,98,High,,Science,Private,Medium,High,Yes,High,Medium,High,Neutral,Medium,40,No,8,Healthy,Low,4,Yes,Negative,Yes,Yes,Visual,Yes,No,Low,,Low,C
19,M,Some College,40000,B,98,High,,Business,Private,Medium,Low,Yes,High,High,,Positive,Low,52,No,6,,Low,10,Yes,Negative,No,Yes,Visual,No,No,Low,2,Low,C
